순번,연구개발사업한글명,연구개발사업시작일자,연구개발사업종료일자,연구개발사업구분코드,과제단계코드,주관기관명,발주기관명,연구개발사업한글키워드값,연구개발사업영문키워드값,연구개발사업개요내용,연구개발사업영문명,연구개발사업관리기관명
277,Ku 대역 소형 펄스 도플러 변복조기 개발,2004-07-01,2005-08-31,민군겸용기술개발,응용연구,단암시스템즈(주) ,국방과학연구소,Ku 대역;펄스 도플러;변복조기,Ku-Band;Pulse Doppler;Up-Converter and Down-Converter,"ㅇ 개발된 변조기는 자체 송신 캐리어 (carrier) 신호원 (source)을 갖고 있고 그 출력은 LO 신호 (Local Oscillator signal)로 정의 될 수 있다. 변조기는 또한 SSB 혼합기 (Single Side-Band Mixer)를 이용하여 변조기로 입력되는 IF 신호를 RF(Radio Frequency) 주파수 대역으로 상향변환 하는데, 이때 변조기 내에서 발생된 LO 신호는 캐리어 신호로, 입력 IF (Intermediate Frequency) 신호는 변조 (modulating) 신호로 작용한다. 변조기는 또한 충분한 출력전력 (output power) 을 얻기 위해 일정 전력이득 (power gain)을 갖도록 설계된 구동 증폭기와 펄스변조를 위한 마이크로파 스위치(switch)로 구성된다. 개발된 복조기는 표적 추적 레이더인 모노펄스 (monopulse) 레이더에 사용될 목적으로 3채널 RF 입력 및 IF 출력으로 구성되며 이들 채녈 간에는 가능한 최소한의 이득 및 위상오차를 가져야 한다. 다른 하향변환기와 마찬가지로 LNA (Low Noise Amplifier), 하향변환 혼합기, IF 증폭기 등으로 구성되지만 특히 혼합기는 신호탐지에 치명적인 입력 영상주파수신호 (image frequency signal)를 효과적으로 제거하기 위해 영상제거형 혼합기 (image rejection mixer)를 채택하였다. 개발된 복조기는 또한 송신단으로 부터 반사되어 수신단으로 입사되는 강한 송신 신호성분들로 부터 복조기를 격리 보호하기 위해 리미터 (limiter)를 채택하고 있다. 마지막으로 개발된 복조기의 또 다른 중요 특징은 그 입력 천이부에 있다. 안테나로부터 복조기로의 RF 신호전달은 도파관(waveguide)을 통해 이루어 지는데, 복조기 회로는 마이크로스트립 (microstrip) 회로 이므로 복조기 입력단에서 효과적인 도파관-마이크로스트립 천이 (waveguide-to-microstrip transition)가 이루어 져야 한다. 본 과제를 통해 소형 저손실 천이부가 개발되었으며 이는 본 과제의 주요 성과중 하나 이다.",Development of a Compact Ku-Band Up-Converter and Down-Converter for a Pulse Doppler Radar,국방과학연구소
278,RTI(Run-Time Infrastructure) 기술 개발,2006-09-01,2008-09-30,민군겸용기술개발,응용연구,LIG넥스원(주),국방과학연구소,RTI(Run-Time Infrastructure) 기술 개발,RTI(Run-Time Infrastructure),"ㅇ 핵심 기술 개발   - RTI 개발 프레임워크 HLA/RTI 소프트웨어 개발을 위한 핵심이론 및 기술을 제공하는 프레임워크로 Windows와 Linux 플랫폼을 지원하는 다수의 클래스 집합이다. RTI의 서비스들은 본 프레임워크가 제공하는 기술을 기반으로 구현된다.   - 시간관리 각 Federate의 시간 진행이나 메시지의 송수신에 있어서 인과성(Causality)을 보장해주는 기술이다. 페더레이션 내에서 시간은 항상 증가하는 방향으로 진행되어야 하는데, 페더레이션에 참여하고 있는 Federate의 현재 시간은 서로 다르기 때문에 페더레이션 시간 축에 있는 각 Federate의 시간 진행을 조정해야 할 필요가 있다. 이를 통해 Federate들에게 전달되는 정보는 원인과 결과가 정확하고 순차적이어야 한다. 즉, 시간 관리 서비스는 페더레이션내의 논리시간 진행과 Time-Stamp 데이터가 전달되는 순서를 조정한다.   - 데이터 분산 데이터 분산 관리(Data Distribution Management) 서비스는 지역(Region)을 생성, 변경하거나 생성된 지역과 선언된 객체 혹은 상호 작용에 대해서 연관시킨다. 또한 지역 안에 있는 각 차원의 실제적인 바운드 값을 변경시킨다. 서로 다른 Federate들은 이 바운드 값의 교차 여부에 따라 데이터를 주고받을 수 있다. 이는 HLA의 Execution 과정 동안 선언한 데이터를 적절히 지역적으로 분배시킴으로써 유연하고 확장 가능한 메커니즘을 제공한다.ㅇ RTI 서비스 개발RTI 서비스 기술은 핵심 요소기술을 기반으로 작성되며 RTI의 동작성과 성능, 표준성을 결정하는 중요 요소들이다.   - Rti Executive(RtiExec) 프로세스   - Federation Executive(FedExec) 프로세스ㅇ Local Rti Component(LRC) LRC는 Federate 개발자에게 HLA 접속 사양에 지정된 RTI 서비스들을 제공하며 각 Federate가 RTI와 통신할 수 있는 인터페이스가 된다.ㅇ RTI 서비스   - 페더레이션 관리(Federation Management)   - 선언 관리(Declaration Management)   - 객체 관리(Object Management)   - 소유권 관리(Ownership Management)   - 시간 관리(Time Management)   - 데이터 분배 관리(Data Distribution Management)   - 지원 서비스들(Support Services)가입되어 있는 Federate들이 이름(Name), 핸들(Handle), 스위치(Switch). 지역(Region) 등을 설정할 수 있도록 서비스를 제공한다.",The Development of RTI(Run Time Infrastructure),국방과학연구소
279,Norbornene계 유도체 제조 기술 개발,2005-12-01,2007-12-31,민군겸용기술개발,응용연구,코오롱유화(주),국방과학연구소,Norbornene계;유도체;유도체 제조,DCPD;CPD;NBD;NB;ENB;JSR,"ㅇ 본 연구에서는 Norbornene계 유도체인 NBD 및 ENB, NB, JSR (CPD+MMA) 제조공정 개발 및 유도체(ENB, NBD, NB)설계서 작성, ENB에 대한 2 MT/Y규모의 Pilot plant 설치 및 test를 위하여 다음의 연구를 년차별로 수행하였다.ㅇ Bench scale 반응조건 확립   - 자료 조사   - Diels-Alder 반응용 촉매 개발   - 반응조건 연구 및 최적조건 확립   - 분리, 정제 연구ㅇ 연속식 제조조건 확립   - 연속식 반응기 제작   - 촉매 개발   - 반응조건 확립   - NBD, ENB, NB, JSR 분리 및 정제 방법 확립ㅇ Pilot plant 설계/제작/설치   - 2 Ton/year 규모 Pilot plant 설계, 제작 및 설치   - ENB Pilot Testㅇ Pilot test 및 최적조건 확립   - Pilot test(NBD)   - ENB, NBD, NB, MNC(JSR) 연속공정 개발 및 설계서(ENB, NBD, NB) 작성   - 시료 품질 분석",Process Development of Norbornene Derivatives,국방과학연구소
280,다족형 견마로봇 플랫폼 기술 개발,2006-01-01,2009-12-31,민군겸용기술개발,응용연구,한국생산기술연구원,국방과학연구소,다족;로봇;지능로봇;보행로봇;플랫폼,Leg;Legged Robot;Little Dog;Alpha Dog,"ㅇ 무선 원격조종을 통한 외부 명령에 의해, 4족 보행 메커니즘을 사용하여 평지 및 야지에서 안전하게 이동하면서, 운반, 탐지, 감시·정찰 임무를 수행하기 위하여, 수송용 유압구동식 족형 플랫폼과 감시용 모터구동식 플랫폼을 개발하였다. 주요 사양으로는 최대 보행 속도 1.5m/s 이상, 자체/가반 중량 100kg/60kg, 운행시간 엔진사용 3시간, 배터리 사용 30분, 관측 6시간을 목표로 하며, 이를 위한 주요 세부기술로는 유압 액추에이터 및 유압 구동 시스템 개발 기술, 동력시스템 기술, 보행 및 자세 안정화 기술 등이 있다.",Development of Quadruped Legged Robot Platform Technology,국방과학연구소
281,다족형 견마로봇 플랫폼 기술 개발,2009-10-12,2013-04-04,민군겸용기술개발,시험개발,한국생산기술연구원,국방과학연구소,다족;로봇;지능로봇;보행로봇;플랫폼,Leg;Legged Robot;Little Dog;Alpha Dog,"ㅇ 무선 원격조종을 통한 외부 명령에 의해, 4족 보행 메커니즘을 사용하여 평지 및 야지에서 안전하게 이동하면서, 운반, 탐지, 감시·정찰 임무를 수행하기 위하여, 수송용 유압구동식 족형 플랫폼과 감시용 모터구동식 플랫폼을 개발하였다. 주요 사양으로는 최대 보행 속도 1.5m/s 이상, 자체/가반 중량 100kg/60kg, 운행시간 엔진사용 3시간, 배터리 사용 30분, 관측 6시간을 목표로하며, 이를 위한 주요 세부기술로는 유압 액추에이터 및 유압 구동 시스템 개발 기술, 동력시스템 기술, 보행 및 자세 안정화 기술 등이 있다.",Development of Quadruped Legged Robot Platform Technology,국방과학연구소
282,"Al, Mg 및 Ti 합금에 공통적용이 가능한 초경질 세라믹 코팅기술 개발",2004-08-01,2006-07-31,민군겸용기술개발,응용연구,(주)아이메탈아이 플라즈마 표면처리 연구소,국방과학연구소,합금;초경질 세라믹 코팅기술;경질피막처리기술;마그네슘;알루미늄;티타늄,PEO;Power Supply;Al;Mg;Ti,"ㅇ 1차년도(2004)   - 목표물성을 위한 최적 Polarity Mode, 입력시간,전해농도 확인   - PEO 전기화학적 메커니즘 규명   - 합금원소 및 제조공정의 영향   - 피막조건에 따른 경도, 마찰계수, 부식성, 피막 밀착성, 피로강도, 전기절연강도, 열저항 값을DB화ㅇ 2차년도(2005)   - 전력소모에 미치는 주요인자의 영향 확인(Multi-polarity, 전압파형, 주파수, 입력 전원 주기, 전해액 성분)   - Microprocessor 제어의 고출력 미세조정 Power Supply개발 (200kW급)   - 최적 Counter Electrode 설계 및 전해액 유동 최적설계","Development of Super-hard Ceramic Coating Technology Applicable to Al, Mg, and Ti alloys",국방과학연구소
283,"Al, Mg 및 Ti 합금에 공통 적용이 가능한 초경질 세라믹 코팅기술 개발",2006-08-01,2008-10-31,민군겸용기술개발,시험개발,(주)아이메탈아이 플라즈마 표면처리 연구소,국방과학연구소,합금;초경질 세라믹 코팅기술;경질피막처리기술;마그네슘;알루미늄;티타늄,Al;Mg;Ti;Super-hard Ceramic Coating Technology;alloy,"ㅇ 기술적, 경제적 그리고 환경적으로 우수한 PEO 피막 처리기술에 대하여, 체계적 기초실험을 통한 전기화학적 메카니즘의 규명과 이를 통한 알루미늄, 마그네슘 그리고 티타늄 합금 각각의 광범위한 상용합금에 대한 최적 피막처리 조건 확보 및 그에 대한 종합적인 물성분석 결과를 DB화함으로써, 무한한 제품적용 가능성을 갖는 PEO피막기술을 일반 산업분야에 보급될 기초자료로 활용하고자 한다. 시험개발 단계에서는 내연기관 가솔린엔진의 영원한 과제인 연소효율과 내구성 향상을 위해 내마모, 내충격, 내열 그리고 오일함입성이 우수한 PEO 세라믹 피막을 적용한 고성능 알루미늄 엔진 실린더블럭 (또는 라이너) 혹은 최근 하이브리드카에서 문제가 되고 있는 제너레이터를, 본 기술을 적용하여 새로운 개념으로 설계, 개발하고자 하며, 또한 본 사업에서는 최근 국산화 추진예정인 KMH사업의 다목적 헬기에 적용될 수 있는 내부식성, 내마모성 및 경량성이 요구되는 기어박스, 엔진 보기류 및 내외부 전기전자부품 케이스 등에 응용할 수 있는 대표적인 마그네슘 하우징류에 대한 개발을 포함시키고자 한다.","Development of Super-hard Ceramic Coating Technology Applicable to Al, Mg, and Ti alloys",국방과학연구소
284,GPS 고감도 디지털 신호처리 기술,2009-06-01,2012-06-29,민군겸용기술개발,시험개발,텔에이스,국방과학연구소,고감도;디지털;신호처리,GPS;High Sensitive;digital;Signal Processing,"ㅇ 1단계 목표인 GPS L1 시작품 사양은 다음과 같다.   - 기 확보 기술 활용   - 신호 획득 감도 (Acquisition Sensitivity) -145dBm 이하   - 항법 감도 (Navigation Sensitivity) -156dBm 이하   - 항법 수신 감도 (Tracking Sensitivity) -160dBm 이하   - 항법시작 소요시간 (Time To First Fix) Cold Start 35 초 이하, Hot Start 2초 이하   - 정확도      · CEP < 2.5m @ -130dBm      · CEP < 5m @ -135dBm      · CEP < 12.5m @ -144dBm      · CEP < 20m @ -148dBmㅇ 2단계 목표인 다중 모드 시작품 사양은 다음과 같다.   - 1단계 목표 개선   - 신호 획득 감도 (Acquisition Sensitivity) -147dBm 이하   - 항법 감도 (Navigation Sensitivity) -156dBm 이하   - 항법 수신 감도 (Tracking Sensitivity) -165dBm 이하   - 항법 시작 소요시간 (Time To First Fix) Cold Start 35 초 이하, Hot Start 2초 이하○ 정확도      · CEP < 2m @ -130dBm      · CEP < 4m @ -135dBm      · CEP < 10m @ -144dBm      · CEP < 15m @ -148dBm",Technologies for High Sensitive GPS Signal Processing,국방과학연구소
285,감시정찰 센서네트워크 개발,2009-12-01,2012-12-31,민군겸용기술개발,시험개발,한국전자통신연구원,국방과학연구소,스마트;센서노드;초소형;저전력;위치기반;전술통신,USN;Location,ㅇ 1차년도 : 요구분석 및 핵심기술별 상용화 기본설계ㅇ 2차년도 : 핵심기술별 상세셀계 및 구현제작ㅇ 3차년도 : 단위/통합시험 및 자체시험평가,Surveillance and Reconnaissance Sensor Network Development,국방과학연구소
286,고성능 나노결정형 Nd-Fe-B계 영구자석 제조기술,2004-06-01,2006-05-31,민군겸용기술개발,시험개발,쌍용머티리얼,국방과학연구소,고성능;나노결정형;나노결정형 Nd-Fe-B계;영구자석,high performance;nano crystalline;nano crystalline Nd-Fe-B system;permanent magnet,ㅇ 상용화용 시제품 제작을 위한 대량 생산 연구 및 설비 구축   - 고보자력 NdFeB+CoZr 조성의 자성분말 제조   - 고잔류자화 NdFeB+Co 조성의 자성분말 제조ㅇ Nanocomposite 조성의 자기특성 향상 연구ㅇ 최대자기에너지적 (BH)max > 9MGOe의 Nd2Fe14B+Fe(또는 Fe3B) nanocomposite 본드자석ㅇ RF Plasma combustion 장치를 이용한 단일상 nano 입자 생성기술,Production technology of permanent magnet of high performance nano crystalline Nd-Fe-B system,국방과학연구소
